path	top_folder	source_type	source_name	lines	bytes
AccountingRegisters/Хозрасчетный/Ext/ManagerModule.bsl	AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	77	5155
AccountingRegisters/Хозрасчетный/Ext/RecordSetModule.bsl	AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	1233	86740
AccountingRegisters/Хозрасчетный/Forms/ФормаСписка/Ext/Form/Module.bsl	AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	311	19287
AccumulationRegisters/АвансовыеПлатежиИностранцевПоНДФЛ/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	АвансовыеПлатежиИностранцевПоНДФЛ	46	1995
AccumulationRegisters/БухгалтерскиеВзаиморасчетыССотрудниками/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	БухгалтерскиеВзаиморасчетыССотрудниками	38	1760
AccumulationRegisters/БухгалтерскиеВзаиморасчетыССотрудниками/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	БухгалтерскиеВзаиморасчетыССотрудниками	30	1376
AccumulationRegisters/БюджетДоходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	БюджетДоходы	23	1000
AccumulationRegisters/БюджетРасходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	БюджетРасходы	23	1000
AccumulationRegisters/ВзаиморасчетыСДепонентами/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВзаиморасчетыСДепонентами	24	1071
AccumulationRegisters/ВзаиморасчетыСДепонентами/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВзаиморасчетыСДепонентами	46	2198
AccumulationRegisters/ВзаиморасчетыССотрудниками/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВзаиморасчетыССотрудниками	44	2273
AccumulationRegisters/ВзаиморасчетыССотрудниками/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВзаиморасчетыССотрудниками	37	1813
AccumulationRegisters/ВозвратыТоваров/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	326	22666
AccumulationRegisters/ВозвратыТоваров/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	31	1239
AccumulationRegisters/ВыпускПродукцииПоДаннымПродаж/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВыпускПродукцииПоДаннымПродаж	20	917
AccumulationRegisters/ВыпускПродукцииУслуг/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВыпускПродукцииУслуг	27	1004
AccumulationRegisters/ВыпускПродукцииУслуг/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВыпускПродукцииУслуг	70	3890
AccumulationRegisters/ВыпускПродукцииУслуг/Forms/ФормаСписка/Ext/Form/Module.bsl	AccumulationRegisters	РегистрНакопления	ВыпускПродукцииУслуг	10	345
AccumulationRegisters/ВыработкаМатериалов/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаМатериалов	27	1004
AccumulationRegisters/ВыработкаМатериалов/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаМатериалов	0	3
AccumulationRegisters/ВыработкаНМА/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаНМА	27	1004
AccumulationRegisters/ВыработкаНМА/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаНМА	0	3
AccumulationRegisters/ВыработкаОС/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаОС	27	1004
AccumulationRegisters/ВыработкаОС/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ВыработкаОС	0	3
AccumulationRegisters/ДанныеДляРасчетаСреднегоЗаработкаПоНачислениям/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ДанныеДляРасчетаСреднегоЗаработкаПоНачислениям	26	1073
AccumulationRegisters/ЗадолженностьСамозанятыхПоРеестру/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ЗадолженностьСамозанятыхПоРеестру	328	21925
AccumulationRegisters/ЗакупленныеТоварыКомитентов/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ЗакупленныеТоварыКомитентов	27	1004
AccumulationRegisters/ЗарплатаКВыплате/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплате	39	1854
AccumulationRegisters/ЗарплатаКВыплате/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплате	38	2012
AccumulationRegisters/ЗарплатаКВыплатеАвансом/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплатеАвансом	41	1870
AccumulationRegisters/ЗарплатаКВыплатеАвансом/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ЗарплатаКВыплатеАвансом	27	1499
AccumulationRegisters/ИПДоходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПДоходы	27	1004
AccumulationRegisters/ИПДоходы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПДоходы	0	3
AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	283	20790
AccumulationRegisters/ИПИныеМатериальныеРасходы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПИныеМатериальныеРасходы	0	3
AccumulationRegisters/ИПМПЗ/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗ	389	26142
AccumulationRegisters/ИПМПЗ/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗ	0	3
AccumulationRegisters/ИПМПЗОбороты/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗОбороты	319	24282
AccumulationRegisters/ИПМПЗОбороты/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗОбороты	0	3
AccumulationRegisters/ИПМПЗОтгруженные/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗОтгруженные	27	1004
AccumulationRegisters/ИПМПЗОтгруженные/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПМПЗОтгруженные	0	3
AccumulationRegisters/ИППрочиеДоходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИППрочиеДоходы	27	1004
AccumulationRegisters/ИППрочиеДоходы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИППрочиеДоходы	0	3
AccumulationRegisters/ИППрочиеРасходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИППрочиеРасходы	59	2715
AccumulationRegisters/ИППрочиеРасходы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИППрочиеРасходы	0	3
AccumulationRegisters/ИПРБП/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПРБП	27	1004
AccumulationRegisters/ИПРБП/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПРБП	0	3
AccumulationRegisters/ИПРасходыНаОплатуТруда/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИПРасходыНаОплатуТруда	27	1004
AccumulationRegisters/ИПРасходыНаОплатуТруда/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИПРасходыНаОплатуТруда	0	3
AccumulationRegisters/ИмущественныеВычетыНДФЛ/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИмущественныеВычетыНДФЛ	46	1955
AccumulationRegisters/ИмущественныеВычетыНДФЛ/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИмущественныеВычетыНДФЛ	33	1494
AccumulationRegisters/ИсчисленныеСтраховыеВзносы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	ИсчисленныеСтраховыеВзносы	46	1967
AccumulationRegisters/ИсчисленныеСтраховыеВзносы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	ИсчисленныеСтраховыеВзносы	0	3
AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	299	20273
AccumulationRegisters/КнигаУчетаДоходовИРасходов/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	0	3
AccumulationRegisters/КнигаУчетаДоходовИРасходов/Forms/ФормаСписка/Ext/Form/Module.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходов	19	858
AccumulationRegisters/КнигаУчетаДоходовИРасходовНМА/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовНМА	27	1004
AccumulationRegisters/КнигаУчетаДоходовИРасходовНМА/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовНМА	0	3
AccumulationRegisters/КнигаУчетаДоходовИРасходовНМА/Forms/ФормаСписка/Ext/Form/Module.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовНМА	19	858
AccumulationRegisters/КнигаУчетаДоходовИРасходовОС/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовОС	27	1004
AccumulationRegisters/КнигаУчетаДоходовИРасходовОС/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовОС	0	3
AccumulationRegisters/КнигаУчетаДоходовИРасходовОС/Forms/ФормаСписка/Ext/Form/Module.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовОС	19	858
AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел4/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовРаздел4	27	1004
AccumulationRegisters/КнигаУчетаДоходовИРасходовРаздел5/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовИРасходовРаздел5	27	1004
AccumulationRegisters/КнигаУчетаДоходовПатент/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовПатент	272	17819
AccumulationRegisters/КнигаУчетаДоходовПатент/Forms/ФормаСписка/Ext/Form/Module.bsl	AccumulationRegisters	РегистрНакопления	КнигаУчетаДоходовПатент	19	858
AccumulationRegisters/НДСАвансыПоДоговорамКомиссии/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСАвансыПоДоговорамКомиссии	27	1004
AccumulationRegisters/НДСАвансыПоДоговорамКомиссии/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСАвансыПоДоговорамКомиссии	0	3
AccumulationRegisters/НДСВключенныйВСтоимость/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСВключенныйВСтоимость	27	1004
AccumulationRegisters/НДСВключенныйВСтоимость/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСВключенныйВСтоимость	0	3
AccumulationRegisters/НДСЗаписиКнигиПокупок/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПокупок	27	1004
AccumulationRegisters/НДСЗаписиКнигиПокупок/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПокупок	25	839
AccumulationRegisters/НДСЗаписиКнигиПродаж/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПродаж	226	12805
AccumulationRegisters/НДСЗаписиКнигиПродаж/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСЗаписиКнигиПродаж	25	839
AccumulationRegisters/НДСЗаписиРаздела7Декларации/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСЗаписиРаздела7Декларации	27	1004
AccumulationRegisters/НДСКосвенныеРасходы/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСКосвенныеРасходы	27	1004
AccumulationRegisters/НДСКосвенныеРасходы/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСКосвенныеРасходы	0	3
AccumulationRegisters/НДСНачисленный/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСНачисленный	27	1004
AccumulationRegisters/НДСНачисленный/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСНачисленный	0	3
AccumulationRegisters/НДСНеоблагаемыеОперации/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСНеоблагаемыеОперации	247	14994
AccumulationRegisters/НДСПоПриобретеннымЦенностям/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПоПриобретеннымЦенностям	27	1004
AccumulationRegisters/НДСПоПриобретеннымЦенностям/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПоПриобретеннымЦенностям	0	3
AccumulationRegisters/НДСПредъявленный/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПредъявленный	27	1004
AccumulationRegisters/НДСПредъявленный/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПредъявленный	25	839
AccumulationRegisters/НДСПредъявленныйРеализация0/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПредъявленныйРеализация0	353	23389
AccumulationRegisters/НДСПредъявленныйРеализация0/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСПредъявленныйРеализация0	41	2663
AccumulationRegisters/НДСРаздельныйУчет/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСРаздельныйУчет	264	16058
AccumulationRegisters/НДСРаздельныйУчет/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСРаздельныйУчет	0	3
AccumulationRegisters/НДСРеализация0/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСРеализация0	27	1004
AccumulationRegisters/НДСРеализация0/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСРеализация0	0	3
AccumulationRegisters/НДСсАвансов/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДСсАвансов	27	1004
AccumulationRegisters/НДСсАвансов/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДСсАвансов	0	3
AccumulationRegisters/НДФЛКПеречислению/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДФЛКПеречислению	46	1915
AccumulationRegisters/НДФЛКПеречислению/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НДФЛКПеречислению	0	3
AccumulationRegisters/НДФЛПеречисленный/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НДФЛПеречисленный	46	1915
AccumulationRegisters/НачисленияПоДоговорамГПХ/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НачисленияПоДоговорамГПХ	26	1073
AccumulationRegisters/НачисленияУдержанияПоСотрудникам/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НачисленияУдержанияПоСотрудникам	38	1826
AccumulationRegisters/НачисленияУдержанияПоСотрудникам/Ext/RecordSetModule.bsl	AccumulationRegisters	РегистрНакопления	НачисленияУдержанияПоСотрудникам	21	1043
AccumulationRegisters/НачисленияУдержанияПоСотрудникамАвансом/Ext/ManagerModule.bsl	AccumulationRegisters	РегистрНакопления	НачисленияУдержанияПоСотрудникамАвансом	75	3879
