type	count
ОбщийМодуль	3530
ОбщаяКартинка	1979
РегистрСведений	1313
Перечисление	1160
Константа	734
Справочник	721
Отчет	711
Роль	665
ОбщаяКоманда	573
ФункциональнаяОпция	520
ОпределяемыйТип	501
ПодпискаНаСобытие	452
ПакетXDTO	438
ОбщаяФорма	434
Документ	431
Обработка	382
ОбщийМакет	274
РегламентноеЗадание	176
РегистрНакопления	108
ПараметрСеанса	95
Подсистема	75
ЖурналДокументов	38
ПланОбмена	26
WebСервис	17
БизнесПроцесс	9
HTTPСервис	9
ПланВидовХарактеристик	8
ОбщийРеквизит	7
ПараметрФункциональнойОпции	7
КритерийОтбора	6
Последовательность	5
ПланВидовРасчета	3
ХранилищеНастроек	3
РегистрБухгалтерии	1
ПланСчетов	1
НумераторДокументов	1
ИнтеграционныйСервис	1
Задача	1
WSСсылка	1
