top_folder	type	name	xml_path	object_dir	forms_count	commands_count	has_manager_module	has_object_module	has_recordset_module	has_module
AccountingRegisters	РегистрБухгалтерии	Хозрасчетный	AccountingRegisters/Хозрасчетный.xml	AccountingRegisters/Хозрасчетный	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	АвансовыеПлатежиИностранцевПоНДФЛ	AccumulationRegisters/АвансовыеПлатежиИностранцевПоНДФЛ.xml	AccumulationRegisters/АвансовыеПлатежиИностранцевПоНДФЛ	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	БухгалтерскиеВзаиморасчетыССотрудниками	AccumulationRegisters/БухгалтерскиеВзаиморасчетыССотрудниками.xml	AccumulationRegisters/БухгалтерскиеВзаиморасчетыССотрудниками	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	БюджетДоходы	AccumulationRegisters/БюджетДоходы.xml	AccumulationRegisters/БюджетДоходы	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	БюджетРасходы	AccumulationRegisters/БюджетРасходы.xml	AccumulationRegisters/БюджетРасходы	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ВзаиморасчетыСДепонентами	AccumulationRegisters/ВзаиморасчетыСДепонентами.xml	AccumulationRegisters/ВзаиморасчетыСДепонентами	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВзаиморасчетыССотрудниками	AccumulationRegisters/ВзаиморасчетыССотрудниками.xml	AccumulationRegisters/ВзаиморасчетыССотрудниками	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВозвратыТоваров	AccumulationRegisters/ВозвратыТоваров.xml	AccumulationRegisters/ВозвратыТоваров	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВыпускПродукцииПоДаннымПродаж	AccumulationRegisters/ВыпускПродукцииПоДаннымПродаж.xml	AccumulationRegisters/ВыпускПродукцииПоДаннымПродаж	0	0	1	0	0	0
AccumulationRegisters	РегистрНакопления	ВыпускПродукцииУслуг	AccumulationRegisters/ВыпускПродукцииУслуг.xml	AccumulationRegisters/ВыпускПродукцииУслуг	1	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВыработкаМатериалов	AccumulationRegisters/ВыработкаМатериалов.xml	AccumulationRegisters/ВыработкаМатериалов	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВыработкаНМА	AccumulationRegisters/ВыработкаНМА.xml	AccumulationRegisters/ВыработкаНМА	0	0	1	0	1	0
AccumulationRegisters	РегистрНакопления	ВыработкаОС	AccumulationRegisters/ВыработкаОС.xml	AccumulationRegisters/ВыработкаОС	0	0	1	0	1	0
