source_top_folder	source_type	source_name	source_path	query_table
Documents	Документ	ЧекЕГАИС	Documents/ЧекЕГАИС/Ext/ManagerModule.bsl	Справочник.Справки2ЕГАИС
Documents	Документ	ЧекЕГАИС	Documents/ЧекЕГАИС/Ext/ManagerModule.bsl	СтрокаТЧ.АкцизныеМарки
Documents	Документ	ЧекЕГАИС	Documents/ЧекЕГАИС/Ext/ManagerModule.bsl	ШтрихкодыУпаковок.МаркированныеТовары
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	ДокументОбъект.АкцизныеМарки
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	ДокументОбъект.Товары
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	ПараметрыЗаполнения.ДобавленныеСтроки
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	ПараметрыЗаполнения.ИзмененныеСтроки
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	ПеречислениеСсылка.ДальнейшиеДействияПоВзаимодействиюЕГАИС
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	РегистрСведений.СтатусыДокументовЕГАИС
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	Справочник.ВидыАлкогольнойПродукции
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	Справочник.КлассификаторАлкогольнойПродукцииЕГАИС
Documents	Документ	ЧекЕГАИСВозврат	Documents/ЧекЕГАИСВозврат/Ext/ManagerModule.bsl	Справочник.Справки2ЕГАИС
Documents	Документ	ЭлектронноеПисьмоВходящее	Documents/ЭлектронноеПисьмоВходящее/Forms/ФормаДокумента/Ext/Form/Module.bsl	ТекущийОбъект.НепринятыеВложения
Documents	Документ	ЭлектронноеПисьмоВходящее	Documents/ЭлектронноеПисьмоВходящее/Forms/ФормаДокументаБП/Ext/Form/Module.bsl	ТекущийОбъект.НепринятыеВложения
Documents	Документ	ЭлектронноеПисьмоИсходящее	Documents/ЭлектронноеПисьмоИсходящее/Ext/ManagerModule.bsl	Документ.ЭлектронноеПисьмоИсходящее
Documents	Документ	ЭлектронноеПисьмоИсходящее	Documents/ЭлектронноеПисьмоИсходящее/Ext/ObjectModule.bsl	РегистрСведений.ПредметыПапкиВзаимодействий
Documents	Документ	ЭлектронноеПисьмоИсходящее	Documents/ЭлектронноеПисьмоИсходящее/Ext/ObjectModule.bsl	Сообщение.Вложения
Documents	Документ	ЭлектронныйДокументИсходящийЭДО	Documents/ЭлектронныйДокументИсходящийЭДО/Ext/ManagerModule.bsl	РегистрСведений.ОператорыЭДО
Documents	Документ	ЭлектронныйДокументИсходящийЭДО	Documents/ЭлектронныйДокументИсходящийЭДО/Ext/ManagerModule.bsl	Справочник.УдалитьСоглашенияОбИспользованииЭД.ИсходящиеДокументы
