source_top_folder	source_type	source_name	source_path	ref_kind	ref_name
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	ДальнейшиеДействияПоВзаимодействиюИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	НазначениеСообщенийИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	СтатусыОбработкиПеремещенийМеждуМОДИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	СтатусыОбработкиСообщенийИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	ТипыЗапросовИС
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	Перечисления	ТипыУпаковок
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ManagerModule.bsl	РегистрыСведений	СтатусыДокументовИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ObjectModule.bsl	Документы	ПеремещениеМеждуМОДИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ObjectModule.bsl	Перечисления	ВидыПродукцииИС
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Ext/ObjectModule.bsl	РегистрыСведений	СтатусыДокументовИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаДокумента/Ext/Form/Module.bsl	Документы	ПеремещениеМеждуМОДИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаДокумента/Ext/Form/Module.bsl	Перечисления	ДальнейшиеДействияПоВзаимодействиюИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаДокумента/Ext/Form/Module.bsl	Перечисления	СтатусыОбработкиПеремещенийМеждуМОДИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаДокумента/Ext/Form/Module.bsl	Перечисления	СтатусыПроверкиИПодбораИС
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаДокумента/Ext/Form/Module.bsl	Перечисления	ТипыКонтактнойИнформации
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаСпискаДокументов/Ext/Form/Module.bsl	Документы	ПеремещениеМеждуМОДИСМП
Documents	Документ	ПеремещениеМеждуМОДИСМП	Documents/ПеремещениеМеждуМОДИСМП/Forms/ФормаСпискаДокументов/Ext/Form/Module.bsl	Перечисления	ВидыПродукцииИС
Documents	Документ	ПеремещениеОС	Documents/ПеремещениеОС/Ext/ManagerModule.bsl	Документы	ПеремещениеОС
Documents	Документ	ПеремещениеОС	Documents/ПеремещениеОС/Ext/ManagerModule.bsl	Константы	ВалютаРегламентированногоУчета
Documents	Документ	ПеремещениеОС	Documents/ПеремещениеОС/Ext/ObjectModule.bsl	Документы	ПеремещениеОС
Documents	Документ	ПеремещениеОС	Documents/ПеремещениеОС/Ext/ObjectModule.bsl	Перечисления	ВидыСобытийОС
Documents	Документ	ПеремещениеОС	Documents/ПеремещениеОС/Ext/ObjectModule.bsl	Перечисления	ЕдиницыУчетаОС
